iter	RMSE
571	178507.1253
572	178401.4975
573	178225.2018
574	178083.3436
575	177868.2107
576	177750.4061
577	177673.6004
578	177597.4221
579	177293.0841
580	177210.3799
581	176978.188
582	176762.4401
583	176687.1975
584	176455.8008
585	176212.0213
586	176130.5157
587	176056.392
588	175815.5704
589	175740.3905
590	175558.5285
591	175449.6124
592	175376.1803
593	175302.7018
594	175231.0185
595	175107.9964
596	175035.8491
597	174884.5686
598	174812.8743
599	174711.4522
600	174503.5027
601	174432.2025
602	174362.013
603	174291.5676
604	174221.5744
605	174002.6994
606	173877.9213
607	173552.0583
608	173368.9515
609	173298.7003
610	173151.5168
611	172848.2023
612	172596.728
613	172309.455
614	172239.5473
615	172170.121
616	172060.8407
617	171853.9405
618	171785.6964
619	171717.1892
620	171648.9838
621	171562.0835
622	171495.3322
623	171394.0542
624	171254.6164
625	171003.4809
626	170935.9771
627	170762.8697
628	170590.6899
629	170523.3101
630	170448.6506
631	170347.1545
632	170210.6655
633	169979.2511
634	169912.4338
635	169516.6887
636	169320.1041
637	169226.141
638	169159.3588
639	169093.0559
640	169000.4776
641	168602.3908
642	168536.3752
643	168375.9299
644	168311.2243
645	168204.3868
646	167841.7143
647	167506.0932
648	167432.3531
649	167367.7316
650	167303.982
651	167231.5
652	167044.2991
653	166975.3761
654	166641.072
655	166503.4349
656	166369.4465
657	166305.6211
658	166235.2118
659	165934.7376
660	165750.8034
661	165582.7936
662	165348.1021
663	165179.3965
664	165116.9196
665	165053.9035
666	164901.794
667	164735.0989
668	164618.9325
669	164522.2018
670	164284.2294
671	164143.1383
672	164080.014
673	163905.7287
674	163674.9803
675	163613.0537
676	163246.0259
677	163183.3811
678	163114.1488
679	163052.8509
680	162898.3563
681	162770.3124
682	162701.563
683	162478.1912
684	162349.4702
685	162257.6828
686	162024.0827
687	161919.928
688	161853.4785
689	161752.6653
690	161692.9689
691	161632.8804
692	161469.7491
693	161375.4749
694	161055.4908
695	160843.3933
696	160745.7606
697	160584.3904
698	160492.4631
699	160432.0947
700	160372.3368
701	160084.8607
702	159961.5847
703	159901.9402
704	159643.4675
705	159465.4939
706	159399.4151
707	159322.0223
708	159181.4832
709	159085.512
710	158901.81
711	158741.6908
712	158667.1238
713	158572.452
714	158513.4832
715	158454.3971
716	158317.5023
717	158258.8045
718	157993.7937
719	157853.7938
720	157795.7889
721	157694.3385
722	157636.719
723	157556.5267
724	157272.9207
725	157194.2009
726	157106.1519
727	157043.0899
728	156951.6259
729	156893.7501
730	156577.9544
731	156437.1203
732	156373.8492
733	156201.992
734	156139.0114
735	156055.4132
736	155933.0508
737	155773.0647
738	155693.8329
739	155619.3679
740	155562.131
741	155483.6585
742	155183.599
743	155111.2708
744	155045.1119
745	154973.0917
746	154787.391
747	154598.545
748	154493.273
749	154436.5611
750	154252.7344
751	154182.7974
752	154126.3476
753	154070.9932
754	153917.9885
755	153698.4903
756	153632.5873
757	153448.6991
758	153392.8311
759	153224.7898
760	153169.3948
761	153091.2208
762	153036.6754
763	152955.4989
764	152740.1027
765	152685.859
766	152515.2907
767	152461.2347
768	152289.0408
769	152210.6784
770	152156.8323
771	152052.8507
772	151970.471
773	151814.0018
774	151755.9513
775	151548.1214
776	151494.8322
777	151441.13
778	151388.4579
779	151220.8319
780	151089.7449
781	150997.7564
782	150944.5848
783	150693.5914
784	150641.3608
785	150505.1584
786	150451.828
787	150400.0245
788	150253.1964
789	150196.757
790	150108.3634
791	150057.0729
792	150006.0853
793	149926.6132
794	149818.4536
795	149552.722
796	149463.0724
797	149411.6918
798	149313.3308
799	149173.8234
800	149020.3165
801	148969.6575
802	148896.3584
803	148805.2176
804	148754.9438
805	148703.8369
806	148654.0511
807	148573.0286
808	148506.811
809	148403.7981
810	148354.2478
811	148079.6384
812	148028.9511
813	147862.7338
814	147813.5374
815	147733.1631
816	147568.8415
817	147519.9222
818	147471.3015
819	147386.9717
820	147321.4629
821	147191.7208
822	147117.5432
823	147068.736
824	146984.3689
825	146936.3016
826	146888.4397
827	146826.3908
828	146778.8022
829	146615.1054
830	146527.4914
831	146479.5558
832	146298.7156
833	146154.3896
834	146106.7789
835	146059.8337
836	145994.7619
837	145920.6101
838	145750.9807
839	145703.9948
840	145574.8827
841	145528.0321
842	145476.9018
843	145322.5037
844	145178.3231
845	145131.9324
846	144964.3259
847	144896.9205
848	144850.6603
849	144693.0071
850	144616.6654
851	144385.8959
852	144240.6526
853	144194.2975
854	144148.2442
855	144102.5325
856	144042.9927
857	143968.4942
858	143922.9681
859	143806.2486
860	143673.4728
861	143628.0755
862	143569.5083
863	143500.5246
864	143349.9197
865	143115.3145
866	143070.0655
867	142979.3542
868	142934.3123
869	142775.3671
870	142730.4847
871	142685.8503
872	142628.7653
873	142518.0896
874	142473.6524
875	142429.4664
876	142375.7316
877	142318.9198
878	142274.5286
879	142163.351
880	142015.0923
881	141971.3343
882	141927.7327
883	141814.0576
884	141747.8431
885	141627.7978
886	141584.2778
887	141495.3793
888	141452.1456
889	141397.1255
890	141259.8998
891	141154.0132
892	141110.8132
893	141029.8218
894	140975.8469
895	140877.0407
896	140775.7355
897	140732.6698
898	140689.371
899	140610.917
900	140464.6113
901	140421.9034
902	140359.8716
903	140317.3034
904	140239.6317
905	140128.4588
906	140085.581
907	139955.2283
908	139912.9967
909	139829.7966
910	139750.922
911	139657.1567
912	139615.0342
913	139572.6256
914	139499.4425
915	139356.8761
916	139295.3369
917	139252.9956
918	139213.4108
919	139151.8804
920	138997.5046
921	138955.9262
922	138733.2325
923	138632.2511
924	138586.6078
925	138381.9472
926	138288.362
927	138245.9403
928	138204.4287
929	138163.4767
930	138122.7994
931	138020.0487
932	137979.2017
933	137893.8997
934	137853.5015
935	137803.5442
936	137746.7689
937	137706.6126
938	137669.0034
939	137629.1954
940	137559.8075
941	137498.7747
942	137431.42
943	137334.1098
944	137283.7044
945	137193.9152
946	137101.5485
947	137061.7459
948	136925.1363
949	136885.4721
950	136848.3858
951	136719.6997
952	136680.2283
953	136641.0701
954	136587.8459
955	136510.893
956	136336.9
957	136292.9444
958	136183.4594
959	136055.4632
960	135997.6631
961	135904.8981
962	135769.0945
963	135699.2627
964	135604.9305
965	135566.0083
966	135527.1695
967	135488.4835
968	135452.4949
969	135352.3442
970	135309.2088
971	135273.5576
972	135194.9799
973	135132.9944
974	135081.4553
975	134982.7795
976	134926.7469
977	134891.1885
978	134853.1524
979	134815.2659
980	134769.7907
981	134660.0979
982	134492.6863
983	134404.4491
984	134353.7476
985	134239.1988
986	134204.0893
987	134163.1017
988	134026.7362
989	133959.2088
990	133812.144
991	133774.6493
992	133715.0201
993	133673.8048
994	133615.1408
995	133525.8989
996	133451.6157
997	133410.9006
998	133276.4573
999	133236.3169
